Ano_0,Ano_1
1252.5936,1252.5936
1329.0891,1329.0891
1383.0621,1383.0621
1467.7083,1467.7083
1489.07,1489.07
1501.9214,1501.9214
1491.3439,1491.3439
1495.4291,1495.4291
1595.1768,1595.1768
1553.5529,1553.5529
1520.1497,1520.1497
1497.8506,1497.8506
1492.7759,1492.7759
1697.6149,1697.6149
1716.0573,1716.0573
1606.8721,1606.8721
1506.1836,1506.1836
1377.6179,1377.6179
1273.3447,1273.3447
1212.0065,1212.0065
1157.8312,1157.8312
1153.2596,1153.2596
1148.3019,1148.3019
1147.3965,1147.3965
1170.6901,1170.6901
1233.675,1233.675
1300.4318,1300.4318
1381.7118,1381.7118
1393.9131,1393.9131
1425.593,1425.593
1445.5065,1445.5065
1447.8944,1447.8944
1552.654,1552.654
1526.7557,1526.7557
1507.5748,1507.5748
1477.9292,1477.9292
1476.5682,1476.5682
1677.8845,1677.8845
1711.2318,1711.2318
1629.4048,1629.4048
1523.8195,1523.8195
1478.4138,1478.4138
1392.131,1392.131
1317.1404,1317.1404
1259.1112,1259.1112
1224.8862,1224.8862
1187.699,1187.699
1157.1165,1157.1165
1142.671,1142.671
1175.0916,1175.0916
1242.904,1242.904
1339.2941,1339.2941
1379.2751,1379.2751
1398.4265,1398.4265
1415.1062,1415.1062
1389.7719,1389.7719
1363.4391,1363.4391
1332.6383,1332.6383
1316.0626,1316.0626
1301.2698,1301.2698
1332.82,1332.82
1527.9199,1527.9199
1577.1373,1577.1373
1512.2125,1512.2125
1445.3258,1445.3258
1455.3796,1455.3796
1319.1201,1319.1201
1288.395,1288.395
1225.2295,1225.2295
1216.8365,1216.8365
1244.463,1244.463
1269.5399,1269.5399
1325.5493,1325.5493
1407.0383,1407.0383
1474.8833,1474.8833
1564.553,1564.553
1611.1593,1611.1593
1660.6298,1660.6298
1676.84,1676.84
1715.9309,1715.9309
1687.969,1687.969
1645.5383,1645.5383
1608.5764,1608.5764
1566.8226,1566.8226
1553.7632,1553.7632
1758.3083,1758.3083
1793.2458,1793.2458
1718.2393,1718.2393
1598.4647,1598.4647
1487.4672,1487.4672
1386.0968,1386.0968
1326.0465,1326.0465
1270.1725,1270.1725
1272.6738,1272.6738
1287.7383,1287.7383
1283.3098,1283.3098
1343.2405,1343.2405
1441.9727,1441.9727
1508.3312,1508.3312
1618.1155,1618.1155
1655.0817,1655.0817
1696.5482,1696.5482
1722.1537,1722.1537
1765.2081,1765.2081
1724.3967,1724.3967
1688.054,1688.054
1632.857,1632.857
1575.6494,1575.6494
1555.1633,1555.1633
1759.0981,1759.0981
1780.7266,1780.7266
1649.1931,1649.1931
1562.4966,1562.4966
1456.0853,1456.0853
1328.4175,1328.4175
1286.4158,1286.4158
1268.3871,1268.3871
1283.0826,1283.0826
1312.9847,1312.9847
1320.0371,1320.0371
1369.6957,1369.6957
1479.3649,1479.3649
1557.4701,1557.4701
1654.2988,1654.2988
1668.3589,1668.3589
1682.0989,1682.0989
1681.4856,1681.4856
1696.7798,1696.7798
1656.9767,1656.9767
1619.0123,1619.0123
1579.9227,1579.9227
1526.4314,1526.4314
1519.3917,1519.3917
1712.7655,1712.7655
1732.3706,1732.3706
1638.4342,1638.4342
1540.9783,1540.9783
1433.5654,1433.5654
1298.1858,1298.1858
1262.1843,1262.1843
1241.5311,1241.5311
1243.0142,1243.0142
1282.774,1282.774
1280.3602,1280.3602
1329.8944,1329.8944
1416.5138,1416.5138
1510.8676,1510.8676
1653.2379,1653.2379
1694.3416,1694.3416
1704.8417,1704.8417
1700.7257,1700.7257
1706.9264,1706.9264
1659.4286,1659.4286
1596.7616,1596.7616
1551.3369,1551.3369
1518.2924,1518.2924
1509.6216,1509.6216
1692.8269,1692.8269
1718.5652,1718.5652
1624.1383,1624.1383
1536.6937,1536.6937
1426.771,1426.771
1297.492,1297.492
1261.905,1261.905
1243.3453,1243.3453
1236.7966,1236.7966
1240.0581,1240.0581
1235.9955,1235.9955
1250.4258,1250.4258
1326.7356,1326.7356
1371.2106,1371.2106
1402.7844,1402.7844
1409.6808,1409.6808
1401.6504,1401.6504
1395.3522,1395.3522
1383.423,1383.423
1349.2495,1349.2495
1346.9017,1346.9017
1347.7158,1347.7158
1358.4292,1358.4292
1386.5596,1386.5596
1562.3363,1562.3363
1588.7299,1588.7299
1491.1318,1491.1318
1410.1178,1410.1178
1327.8601,1327.8601
1237.4539,1237.4539
1164.8455,1164.8455
1119.4323,1119.4323
1110.8848,1110.8848
1078.692,1078.692
1059.5197,1059.5197
1058.1494,1058.1494
1094.1848,1094.1848
1159.2861,1159.2861
1246.3971,1246.3971
1250.5823,1250.5823
1275.2509,1275.2509
1274.0548,1274.0548
1290.1781,1290.1781
1285.2072,1285.2072
1269.1549,1269.1549
1276.4523,1276.4523
1259.1436,1259.1436
1311.0624,1311.0624
1483.3356,1483.3356
1551.4904,1551.4904
1493.0743,1493.0743
1422.3429,1422.3429
1287.4904,1287.4904
1201.7883,1201.7883
1159.3842,1159.3842
1152.9178,1152.9178
1166.0217,1166.0217
1175.1415,1175.1415
1229.6753,1229.6753
1281.9094,1281.9094
1358.0219,1358.0219
1420.4669,1420.4669
1547.6554,1547.6554
1603.6333,1603.6333
1628.5564,1628.5564
1652.873,1652.873
1676.2571,1676.2571
1634.9017,1634.9017
1567.6405,1567.6405
1536.4729,1536.4729
1494.2147,1494.2147
1517.2349,1517.2349
1737.6611,1737.6611
1752.7194,1752.7194
1641.766,1641.766
1557.8365,1557.8365
1482.8146,1482.8146
1359.358,1359.358
1314.2136,1314.2136
1293.2,1293.2
1296.7368,1296.7368
1323.3649,1323.3649
1328.6307,1328.6307
1397.1664,1397.1664
1526.9979,1526.9979
1597.9258,1597.9258
1674.4138,1674.4138
1707.9243,1707.9243
1718.3749,1718.3749
1724.702,1724.702
1722.8385,1722.8385
1700.0312,1700.0312
1643.929,1643.929
1596.6729,1596.6729
1569.4441,1569.4441
1555.6294,1555.6294
1754.8865,1754.8865
1783.5662,1783.5662
1703.7373,1703.7373
1605.072,1605.072
1483.7723,1483.7723
1348.1869,1348.1869
1285.3514,1285.3514
1264.58,1264.58
1262.0663,1262.0663
1277.7805,1277.7805
1301.6683,1301.6683
1344.3562,1344.3562
1429.5092,1429.5092
1494.848,1494.848
1599.363,1599.363
1636.1892,1636.1892
1670.3177,1670.3177
1682.6735,1682.6735
1704.9723,1704.9723
1710.2106,1710.2106
1663.8524,1663.8524
1619.1727,1619.1727
1578.3063,1578.3063
1561.436,1561.436
1770.1256,1770.1256
1809.5746,1809.5746
1759.2316,1759.2316
1639.8204,1639.8204
1521.6006,1521.6006
1405.1833,1405.1833
1319.8488,1319.8488
1274.97,1274.97
1272.1648,1272.1648
1296.0991,1296.0991
1304.6184,1304.6184
1359.1868,1359.1868
1447.2458,1447.2458
1525.8003,1525.8003
1618.6144,1618.6144
1641.9459,1641.9459
1683.8688,1683.8688
1697.9968,1697.9968
1762.9998,1762.9998
1758.5302,1758.5302
1707.4503,1707.4503
1670.573,1670.573
1616.6913,1616.6913
1585.966,1585.966
1800.9447,1800.9447
1850.3773,1850.3773
1789.4994,1789.4994
1645.3746,1645.3746
1491.6357,1491.6357
1338.5769,1338.5769
1284.7395,1284.7395
1269.6377,1269.6377
1277.3726,1277.3726
1291.0796,1291.0796
1298.1339,1298.1339
1321.068,1321.068
1380.6328,1380.6328
1454.6715,1454.6715
1583.9764,1583.9764
1625.86,1625.86
1660.147,1660.147
1649.2747,1649.2747
1634.9373,1634.9373
1603.4082,1603.4082
1530.7196,1530.7196
1468.9679,1468.9679
1447.9814,1447.9814
1463.8226,1463.8226
1645.4711,1645.4711
1663.956,1663.956
1575.9003,1575.9003
1451.7783,1451.7783
1380.2788,1380.2788
1272.0087,1272.0087
1209.6766,1209.6766
1175.2516,1175.2516
1160.9895,1160.9895
1129.0405,1129.0405
1116.6943,1116.6943
1110.4769,1110.4769
1139.7045,1139.7045
1216.2792,1216.2792
1277.938,1277.938
1327.1234,1327.1234
1381.808,1381.808
1375.2866,1375.2866
1394.1215,1394.1215
1401.7603,1401.7603
1381.0746,1381.0746
1330.8274,1330.8274
1287.397,1287.397
1347.3177,1347.3177
1536.0088,1536.0088
1584.6362,1584.6362
1542.4846,1542.4846
1468.595,1468.595
1352.7809,1352.7809
1249.9445,1249.9445
1171.5555,1171.5555
1172.4946,1172.4946
1187.6027,1187.6027
1267.7411,1267.7411
1315.3708,1315.3708
1356.0216,1356.0216
1455.5946,1455.5946
1509.3584,1509.3584
1560.5157,1560.5157
1570.3259,1570.3259
1567.9908,1567.9908
1549.1211,1549.1211
1545.6095,1545.6095
1501.0771,1501.0771
1464.5729,1464.5729
1439.2339,1439.2339
1417.4918,1417.4918
1458.4888,1458.4888
1621.1692,1621.1692
1623.8413,1623.8413
1534.3347,1534.3347
1430.0092,1430.0092
1269.638,1269.638
1173.9219,1173.9219
1130.1976,1130.1976
1130.8096,1130.8096
1144.2435,1144.2435
1164.3461,1164.3461
1223.1469,1223.1469
1265.9512,1265.9512
1323.5413,1323.5413
1378.5671,1378.5671
1453.531,1453.531
1473.4574,1473.4574
1493.189,1493.189
1507.1901,1507.1901
1635.491,1635.491
1644.6895,1644.6895
1625.657,1625.657
1604.8728,1604.8728
1575.1339,1575.1339
1575.2454,1575.2454
1792.1907,1792.1907
1851.9012,1851.9012
1768.8672,1768.8672
1657.7405,1657.7405
1421.1953,1421.1953
1294.2817,1294.2817
1254.3292,1254.3292
1151.473,1151.473
1168.3218,1168.3218
1220.6079,1220.6079
1280.3751,1280.3751
1324.746,1324.746
1419.9385,1419.9385
1561.9265,1561.9265
1624.2922,1624.2922
1619.1881,1619.1881
1649.0411,1649.0411
1681.3649,1681.3649
1707.9773,1707.9773
1924.5035,1924.5035
1841.752,1841.752
1740.2626,1740.2626
1667.1039,1667.1039
1681.168,1681.168
1947.1537,1947.1537
1999.6299,1999.6299
1913.9663,1913.9663
1822.3163,1822.3163
1574.6257,1574.6257
1468.2925,1468.2925
1435.3184,1435.3184
1347.566,1347.566
1377.5228,1377.5228
1400.158,1400.158
1425.5552,1425.5552
1490.0377,1490.0377
1603.7637,1603.7637
1669.9877,1669.9877
1858.8744,1858.8744
1905.7003,1905.7003
1949.0703,1949.0703
1932.6088,1932.6088
1914.2731,1914.2731
1991.3837,1991.3837
1927.6421,1927.6421
1859.9928,1859.9928
1764.8441,1764.8441
1794.4165,1794.4165
1988.6544,1988.6544
2016.9408,2016.9408
1935.9581,1935.9581
1915.4924,1915.4924
1658.5126,1658.5126
1563.5498,1563.5498
1514.8324,1514.8324
1419.2888,1419.2888
1431.5126,1431.5126
1448.6959,1448.6959
1464.47,1464.47
1512.3107,1512.3107
1632.246,1632.246
1695.4655,1695.4655
1876.9148,1876.9148
1939.7987,1939.7987
1993.3752,1993.3752
1979.3555,1979.3555
1920.2751,1920.2751
1970.0115,1970.0115
1916.9963,1916.9963
1865.0385,1865.0385
1812.4655,1812.4655
1821.9779,1821.9779
1965.4586,1965.4586
1963.6519,1963.6519
1873.9642,1873.9642
1832.4159,1832.4159
1683.8016,1683.8016
1620.0021,1620.0021
1554.386,1554.386
1395.1616,1395.1616
1406.5951,1406.5951
1374.6343,1374.6343
1310.8506,1310.8506
1327.9893,1327.9893
1390.6288,1390.6288
1429.0067,1429.0067
1498.5352,1498.5352
1546.6287,1546.6287
1550.4491,1550.4491
1596.5067,1596.5067
1632.4427,1632.4427
1659.1002,1659.1002
1640.6375,1640.6375
1584.1271,1584.1271
1549.6578,1549.6578
1553.7976,1553.7976
1743.2407,1743.2407
1780.8104,1780.8104
1593.8728,1593.8728
1530.56,1530.56
1436.142,1436.142
1335.5872,1335.5872
1286.9165,1286.9165
1222.0012,1222.0012
1201.6647,1201.6647
