Ano_0,Ano_1,Ano_2
1635.8878,1635.8878,1635.8878
1642.3457,1642.3457,1642.3457
1625.7628,1625.7628,1625.7628
1659.8441,1659.8441,1659.8441
1639.9479,1639.9479,1639.9479
1614.6395,1614.6395,1614.6395
1581.6879,1581.6879,1581.6879
1530.5747,1530.5747,1530.5747
1503.6445,1503.6445,1503.6445
1675.0898,1675.0898,1675.0898
1713.6372,1713.6372,1713.6372
1633.1055,1633.1055,1633.1055
1519.9337,1519.9337,1519.9337
1378.5139,1378.5139,1378.5139
1282.5502,1282.5502,1282.5502
1227.6439,1227.6439,1227.6439
1211.0403,1211.0403,1211.0403
1204.0189,1204.0189,1204.0189
1217.8317,1217.8317,1217.8317
1234.3959,1234.3959,1234.3959
1368.747,1368.747,1368.747
1463.3473,1463.3473,1463.3473
1511.1974,1511.1974,1511.1974
1637.3619,1637.3619,1637.3619
1688.3179,1688.3179,1688.3179
1705.3424,1705.3424,1705.3424
1699.9172,1699.9172,1699.9172
1722.3499,1722.3499,1722.3499
1677.7264,1677.7264,1677.7264
1642.1245,1642.1245,1642.1245
1616.8011,1616.8011,1616.8011
1551.8123,1551.8123,1551.8123
1530.3464,1530.3464,1530.3464
1695.2726,1695.2726,1695.2726
1720.0865,1720.0865,1720.0865
1610.266,1610.266,1610.266
1514.3229,1514.3229,1514.3229
1376.2736,1376.2736,1376.2736
1267.7488,1267.7488,1267.7488
1218.6462,1218.6462,1218.6462
1184.2855,1184.2855,1184.2855
1193.0109,1193.0109,1193.0109
1204.3744,1204.3744,1204.3744
1217.5808,1217.5808,1217.5808
1344.4882,1344.4882,1344.4882
1416.7416,1416.7416,1416.7416
1454.5356,1454.5356,1454.5356
1535.8768,1535.8768,1535.8768
1563.1578,1563.1578,1563.1578
1633.1182,1633.1182,1633.1182
1645.0151,1645.0151,1645.0151
1750.9779,1750.9779,1750.9779
1717.028,1717.028,1717.028
1674.7489,1674.7489,1674.7489
1662.0482,1662.0482,1662.0482
1591.0372,1591.0372,1591.0372
1559.4607,1559.4607,1559.4607
1746.4425,1746.4425,1746.4425
1784.6178,1784.6178,1784.6178
1697.6794,1697.6794,1697.6794
1592.1173,1592.1173,1592.1173
1464.6732,1464.6732,1464.6732
1335.4186,1335.4186,1335.4186
1281.9668,1281.9668,1281.9668
1245.3889,1245.3889,1245.3889
1228.9363,1228.9363,1228.9363
1217.709,1217.709,1217.709
1212.3552,1212.3552,1212.3552
1340.7919,1340.7919,1340.7919
1412.7646,1412.7646,1412.7646
1454.1176,1454.1176,1454.1176
1567.0342,1567.0342,1567.0342
1606.7543,1606.7543,1606.7543
1668.0735,1668.0735,1668.0735
1691.6075,1691.6075,1691.6075
1764.636,1764.636,1764.636
1762.8853,1762.8853,1762.8853
1720.2389,1720.2389,1720.2389
1708.6833,1708.6833,1708.6833
1636.936,1636.936,1636.936
1587.6185,1587.6185,1587.6185
1761.3079,1761.3079,1761.3079
1810.5999,1810.5999,1810.5999
1752.3165,1752.3165,1752.3165
1642.3241,1642.3241,1642.3241
1509.9357,1509.9357,1509.9357
1398.7827,1398.7827,1398.7827
1306.9263,1306.9263,1306.9263
1252.217,1252.217,1252.217
1244.5906,1244.5906,1244.5906
1220.2526,1220.2526,1220.2526
1194.7078,1194.7078,1194.7078
1247.1351,1247.1351,1247.1351
1325.3849,1325.3849,1325.3849
1367.2703,1367.2703,1367.2703
1422.2905,1422.2905,1422.2905
1468.5543,1468.5543,1468.5543
1537.793,1537.793,1537.793
1555.264,1555.264,1555.264
1607.6654,1607.6654,1607.6654
1588.3981,1588.3981,1588.3981
1540.9525,1540.9525,1540.9525
1511.7161,1511.7161,1511.7161
1478.7166,1478.7166,1478.7166
1474.068,1474.068,1474.068
1647.9341,1647.9341,1647.9341
1676.8351,1676.8351,1676.8351
1608.1881,1608.1881,1608.1881
1516.5066,1516.5066,1516.5066
1440.5613,1440.5613,1440.5613
1323.376,1323.376,1323.376
1271.9314,1271.9314,1271.9314
1226.5826,1226.5826,1226.5826
1202.4443,1202.4443,1202.4443
1155.415,1155.415,1155.415
1116.722,1116.722,1116.722
1124.0022,1124.0022,1124.0022
1181.3242,1181.3242,1181.3242
1216.0314,1216.0314,1216.0314
1305.2709,1305.2709,1305.2709
1347.0737,1347.0737,1347.0737
1415.4437,1415.4437,1415.4437
1425.6705,1425.6705,1425.6705
1454.8364,1454.8364,1454.8364
1434.0359,1434.0359,1434.0359
1378.5035,1378.5035,1378.5035
1365.4785,1365.4785,1365.4785
1345.9747,1345.9747,1345.9747
1363.2318,1363.2318,1363.2318
1603.7347,1603.7347,1603.7347
1668.1035,1668.1035,1668.1035
1614.0221,1614.0221,1614.0221
1544.7108,1544.7108,1544.7108
1413.8523,1413.8523,1413.8523
1303.5927,1303.5927,1303.5927
1250.7518,1250.7518,1250.7518
1205.0363,1205.0363,1205.0363
1200.5532,1200.5532,1200.5532
1228.5187,1228.5187,1228.5187
1245.5612,1245.5612,1245.5612
1369.6167,1369.6167,1369.6167
1484.7798,1484.7798,1484.7798
1528.9443,1528.9443,1528.9443
1580.6962,1580.6962,1580.6962
1576.9429,1576.9429,1576.9429
1638.386,1638.386,1638.386
1648.3301,1648.3301,1648.3301
1659.4154,1659.4154,1659.4154
1693.5969,1693.5969,1693.5969
1654.5271,1654.5271,1654.5271
1608.1587,1608.1587,1608.1587
1539.2792,1539.2792,1539.2792
1519.9116,1519.9116,1519.9116
1716.2292,1716.2292,1716.2292
1749.9783,1749.9783,1749.9783
1672.5862,1672.5862,1672.5862
1560.4736,1560.4736,1560.4736
1535.8435,1535.8435,1535.8435
1414.2885,1414.2885,1414.2885
1364.4418,1364.4418,1364.4418
1226.1666,1226.1666,1226.1666
1215.2349,1215.2349,1215.2349
1223.6304,1223.6304,1223.6304
1261.1287,1261.1287,1261.1287
1383.7511,1383.7511,1383.7511
1500.0447,1500.0447,1500.0447
1523.7513,1523.7513,1523.7513
1570.1492,1570.1492,1570.1492
1563.681,1563.681,1563.681
1541.2402,1541.2402,1541.2402
1473.8677,1473.8677,1473.8677
1455.9344,1455.9344,1455.9344
1460.187,1460.187,1460.187
1448.923,1448.923,1448.923
1431.1587,1431.1587,1431.1587
1419.1287,1419.1287,1419.1287
1426.2697,1426.2697,1426.2697
1616.3329,1616.3329,1616.3329
1622.4231,1622.4231,1622.4231
1560.0968,1560.0968,1560.0968
1470.0526,1470.0526,1470.0526
1282.0487,1282.0487,1282.0487
1211.6896,1211.6896,1211.6896
1173.889,1173.889,1173.889
1141.9746,1141.9746,1141.9746
1161.2896,1161.2896,1161.2896
1179.746,1179.746,1179.746
1197.2795,1197.2795,1197.2795
1322.6488,1322.6488,1322.6488
1414.3928,1414.3928,1414.3928
1456.4589,1456.4589,1456.4589
1586.7145,1586.7145,1586.7145
1571.1287,1571.1287,1571.1287
1547.4791,1547.4791,1547.4791
1519.4099,1519.4099,1519.4099
1515.6458,1515.6458,1515.6458
1614.3453,1614.3453,1614.3453
1581.3574,1581.3574,1581.3574
1551.4835,1551.4835,1551.4835
1518.6132,1518.6132,1518.6132
1514.4369,1514.4369,1514.4369
1696.8838,1696.8838,1696.8838
1700.1029,1700.1029,1700.1029
1614.9325,1614.9325,1614.9325
1527.486,1527.486,1527.486
1389.3759,1389.3759,1389.3759
1282.1602,1282.1602,1282.1602
1224.649,1224.649,1224.649
1160.9982,1160.9982,1160.9982
1162.5133,1162.5133,1162.5133
1165.102,1165.102,1165.102
1159.5762,1159.5762,1159.5762
1196.0654,1196.0654,1196.0654
1308.6741,1308.6741,1308.6741
1349.6326,1349.6326,1349.6326
1407.6024,1407.6024,1407.6024
1410.8075,1410.8075,1410.8075
1418.9613,1418.9613,1418.9613
1419.936,1419.936,1419.936
1408.3807,1408.3807,1408.3807
1481.316,1481.316,1481.316
1446.1075,1446.1075,1446.1075
1426.4822,1426.4822,1426.4822
1422.0236,1422.0236,1422.0236
1446.8633,1446.8633,1446.8633
1646.5242,1646.5242,1646.5242
1664.2273,1664.2273,1664.2273
1591.4352,1591.4352,1591.4352
1483.4471,1483.4471,1483.4471
1400.5063,1400.5063,1400.5063
1291.4703,1291.4703,1291.4703
1221.8167,1221.8167,1221.8167
1167.5717,1167.5717,1167.5717
1140.8853,1140.8853,1140.8853
1123.4253,1123.4253,1123.4253
1099.8468,1099.8468,1099.8468
1104.486,1104.486,1104.486
1178.7917,1178.7917,1178.7917
1218.9156,1218.9156,1218.9156
1301.4034,1301.4034,1301.4034
1338.9977,1338.9977,1338.9977
1383.8977,1383.8977,1383.8977
1382.646,1382.646,1382.646
1305.4808,1305.4808,1305.4808
1387.9099,1387.9099,1387.9099
1337.7257,1337.7257,1337.7257
1324.2319,1324.2319,1324.2319
1311.7421,1311.7421,1311.7421
